Security Code,Issuer Name,Security Id,Tickers
523574,Future Enterprises Limited,FEL,523574.BO
523586,Indian Toners & Developers Ltd.,INDTONER,523586.BO
523594,Kunststoffe Industries Ltd.,KUNSTOFF,523594.BO
523598,Shipping Corporation Of India Ltd,SCI,523598.BO
523606,Sika Interplant Systems Ltd.,SIKA,523606.BO
523610,ITI Limited (Indian Teleph.Ind.Ltd),ITI,523610.BO
523618,Dredging Corporation of India Ltd.,DREDGECORP,523618.BO
523620,Phaarmasia Limited.,PHRMASI,523620.BO
523628,Poddar Housing and Development Limited,PODDARHOUS,523628.BO
523630,National Fertilizers Ltd.,NFL,523630.BO
523638,IP Rings Ltd.,IPRINGLTD,523638.BO
523642,PI Industries Limited,PIIND,523642.BO
523648,Plastiblends India Ltd.,PLASTIBLEN,523648.BO
523650,YASH INNOVENTURES LIMITED,YASHINNO,523650.BO
523660,Waterbase Limited,WATERBASE,523660.BO
523672,Flex Foods Ltd.,FLEXFO,523672.BO
523676,Golkunda Diamonds & Jewellery Ltd.,GOLKUNDIA,523676.BO
523694,Apcotex Industries Limited,APCOTEXIND,523694.BO
523696,Fortis Malar Hospitals Limited,FORTISMLR,523696.BO
523704,Mastek Limited,MASTEK,523704.BO
523708,EIMCO Elecon India Ltd.,EIMCOELECO,523708.BO
523710,Sayaji Hotel Ltd,SAYAJIHOTL,523710.BO
523712,JMG Corporation Ltd,JMGCORP,523712.BO
523716,Ashiana Housing Limited,ASHIANA,523716.BO
523722,Svam Software Ltd,SVAMSOF,523722.BO
523732,Ecoboard Industries Ltd,ECOBOAR,523732.BO
523736,Dhunseri Ventures Limited,DVL,523736.BO
523752,TRANS INDIA HOUSE IMPEX LIMITED,TIHIL,523752.BO
523754,MAHINDRA EPC IRRIGATION LIMITED,MAHEPC,523754.BO
523782,Mitshi India Limited,MITSHI,523782.BO
523790,Shukra Jewellers Limited,SHUKJEW,523790.BO
523792,Mazda Ltd.,MAZDA,523792.BO
523796,Viceroy Hotels Ltd.,VHLTD,523796.BO
523826,Sovereign Diamonds Ltd,SOVERDIA,523826.BO
523828,Menon Bearings Ltd,MENONBE,523828.BO
523832,Mukat Pipes Limited,MUKATPIP,523832.BO
523836,Gujarat Raffia Ind. Ltd.,GUJRAFFIA,523836.BO
523838,Simplex Infrastructures Limited,SIMPLEXINF,523838.BO
523840,Innovative Tech Pack Ltd,INNOVTEC,523840.BO
523842,Super Tannery Limited,SUPTANERY,523842.BO
523844,CONSTRONICS INFRA LIMITED,CONSTRONIC,523844.BO
523850,Axtel Industries Ltd.,AXTEL,523850.BO
523888,V R Woodart Ltd,VRWODAR,523888.BO
523896,AVI PRODUCTS INDIA LIMITED,APIL,523896.BO
524000,POONAWALLA FINCORP LIMITED,POONAWALLA,524000.BO
524013,Hindustan Flurocarbons Ltd.,HINFLUR,524013.BO
524019,Kingfa Science & Technology (India) Ltd,KINGFA,524019.BO
524031,Patidar Buildcon Limited,PATIDAR,524031.BO
524037,Rama Phosphates Ltd.,RAMAPHO,524037.BO
524038,Venlon Enterprises Ltd.,VENLONENT,524038.BO
524046,Pet Plastics Ltd.,PETPLST,524046.BO
524051,Polyplex Corporation Ltd.,POLYPLEX,524051.BO
524075,Albert David Ltd.,ALBERTDAVD,524075.BO
524080,Haryana Leather Chemicals Ltd.,HARLETH,524080.BO
524091,CARYSIL LIMITED,CARYSIL,524091.BO
524109,Kabra Extrusion Technik Ltd,KABRAEXTRU,524109.BO
524129,Vinyl Chemicals (India) Ltd.,VINYLINDIA,524129.BO
524136,Pee Cee Cosma Sope Ltd.,PCCOSMA,524136.BO
524156,TCM Ltd.,TCMLMTD,524156.BO
524164,IOL Chemicals & Pharmaceuticals Ltd,IOLCP,524164.BO
524174,Kesar Petroproducts Ltd,KESARPE,524174.BO
524200,Vinati Organics Ltd.,VINATIORGA,524200.BO
524202,Lactose (India) Ltd.,LACTOSE,524202.BO
524204,Teesta Agro Industries Ltd,TEEAI,524204.BO
524208,Aarti Industries Ltd,AARTIIND,524208.BO
524210,Pentokey Organy (India) Ltd.,PNTKYOR,524210.BO
524212,Wanbury Limited,WANBURY,524212.BO
524218,Resonance Specialties Limited,RESONANCE,524218.BO
524226,Gujarat Ambuja Exports Ltd.,GAEL,524226.BO
524230,Rashtriya Chemicals & Fertilizers Limited,RCF,524230.BO
524280,Kopran Ltd.,KOPRAN,524280.BO
524288,Aimco Pesticides Ltd.,AIMCOPEST,524288.BO
524314,Gujarat Terce Laboratories Ltd,GUJTERC,524314.BO
524330,Jayant Agro-Organics Limited.,JAYAGROGN,524330.BO
524332,BCL INDUSTRIES LIMITED,BCLIND,524332.BO
524336,Shree Hari Chemicals Export Ltd.,SHHARICH,524336.BO
524342,Indo Borax & Chemicals Ltd.,INDOBORAX,524342.BO
524348,Aarti Drugs Limited,AARTIDRUGS,524348.BO
524370,Bodal Chemicals Ltd,BODALCHEM,524370.BO
524372,Orchid Pharma Limited,ORCHPHARMA,524372.BO
524394,Vimta Labs Ltd.,VIMTALABS,524394.BO
524396,Biofil Chemicals & Pharmaceuticals,BIOFILCHEM,524396.BO
524400,Ishita Drugs & Industries Ltd.,ISHITADR,524400.BO
524404,Marksans Pharma Ltd.,MARKSANS,524404.BO
524408,Universal Starch-Chem Allied Ltd.,UNIVSTAR,524408.BO
524412,Aarey Drugs & Pharmaceuticals Ltd,AAREYDRUGS,524412.BO
524414,Norris Medicines Ltd.,NORRIS,524414.BO
